고유번호,   식당명, 분류명, 행정동명, 위도, 경도, 평점, 방문자리뷰수
1292414361, 카페 드 파리, 카페, 명동, 37.562711, 126.983746, 4.26, 345
1798095400, 몰또이탈리안에소프레소바, 카페, 명동, 37.564577, 126.986213, 4.41, 442
26934440, 르빵명동성당점, 카페, 명동, 37.563240, 126.987005, 4.47, 494
1911581917, 가배도명동, 카페, 명동, 37.560576, 126.985138, 4.44, 316
474005666, 스타벅스레스케이프호텔R점, 카페, 명동, 37.560091, 126.979491, 4.55, 472
1440347564, 커피한약방, 카페, 명동, 37.566757, 126.988612, 4.42, 383
10332413, 명동교자 본점, 한식, 명동, 37.562768,126.985595, 4.42, 127
25708791, 원조 곱창떡볶이 화떡, 한식, 명동, 37.563098, 126.983777, 4.35, 218
21396812, 쯔루하시 후게츠 명동점, 일식, 명동, 37.563550, 126.984802, 4.49, 257
1822111964, 하동관 명동본점, 한식, 명동,37.566087, 126.985414, 4.06, 365
12793877, 란주라미엔, 중식, 명동, 37.561432, 126.982246, 4.44, 485
21232315, 남포면옥, 한식, 명동, 37.567343, 126.981542, 4.22, 327
22906526, 딘타이펑 명동점, 중식, 명동,37.564775, 126.984219, 4.43, 485
26646897, 꽁시면관 본점, 중식, 명동, 37.562177, 126.983413, 4.35, 110
19409195, 명동피자 명동본점, 양식, 명동, 37.563058, 126.985687, 4.35, 299
18241603, 동강나루터, 한식, 명동, 37.566766, 126.988700, 4.41, 88
8593705, 촛불1978, 양식, 명동, 37.557040, 126.985309, 4.56, 388
11642405, 목멱산방, 한식, 명동, 37.558306, 126.986867, 4.23, 293
922937288, 신동궁감자탕 명동직영점, 한식, 명동, 37.565831, 126.984008, 4.41, 153
11064200, 무교동북어국집, 한식, 명동, 37.567985, 126.979797, 4.41, 455
26874878, 더식당, 한식, 명동, 37.563165, 126.985612, 4.66, 438
1346301870, 부민옥, 한식, 명동, 37.567727, 126.980351, 4.25, 182
7855268, 이북만두, 한식, 명동, 37.567461, 126.978423, 4.14, 100
